site,x.min,x.max,y.min,y.max,x.center,y.center,extent,year,habitat,site_direction
crk.x,733327.2541040783,733498.5380472097,4373812.770358557,4373878.124728592,733360.4675968715,4373836.977882974,11194.154200506242,2018,distant,NA
forest_north,734800.9805732958,734920.8434228925,4372018.907634694,4372094.581715407,734854.3602731252,4372043.464837949,9070.510954833979,2018,forest,NA
forest_south,735032.7957801988,735117.7949462992,4371541.583972909,4371621.037880211,735078.809967671,4371595.541566947,6753.515864138036,2018,forest,NA
mdw_north,734555.9253517534,734652.8501747407,4371698.849285077,4371845.593755739,734583.2900127247,4371801.242132567,14223.18184323006,2018,meadow,NA
mdw_south,734597.3318754702,734665.5438139236,4371450.382986934,4371661.090166131,734649.2066978766,4371578.611681069,14372.745139077027,2018,meadow,NA
north_east,734551.1494210105,734666.0282415486,4373835.231410282,4373922.65327685,734659.2290558304,4373853.302160255,10042.92092054472,2018,distant,NA
sh,735365.1606274965,735726.6472134488,4368312.09056504,4368540.919363473,735393.6775218905,4368523.355968012,82718.54111303521,2018,distant,NA
IN,732826.5704617994,732907.8291930316,4370667.90374418,4370712.876554174,732863.6658607516,4370694.396685313,3654.4334801100404,2015,distant,NA
JM01,734469.6252096792,734568.3264041767,4371323.020984704,4371412.398210466,734527.7387804018,4371361.273563711,8821.638943596865,2015,meadow,meadow_central
JM02,734673.392962784,734763.5088721759,4371402.617139338,4371486.711273487,734722.2365675841,4371446.18807954,7578.219373374138,2015,meadow,meadow_central
JM03,734675.0220126881,734752.0450637776,4371136.632607428,4371210.475274406,734712.4911673708,4371177.374133148,5687.587511232017,2015,meadow,meadow_central
JM04,735035.2373828127,735111.2755903961,4371581.696565416,4371661.76022156,735071.425770359,4371628.9323224155,6087.896905757876,2015,forest,forest_east
JM05,734767.6247198393,734812.0929315225,4371883.2997021945,4371944.880560303,734797.7414158562,4371914.755402838,2738.3906340065046,2015,forest,forest_east
JM06,734590.8196641712,734657.5323919174,4371574.614926263,4371655.160304372,734619.819560611,4371605.8855588995,5373.401881032058,2015,meadow,meadow_central
JM07,734506.889835701,734587.9530277003,4371800.704773997,4371885.680363018,734564.8008219065,4371851.763037647,6888.392488074495,2015,meadow,meadow_central
JM10,734306.7225217698,734379.9286527403,4371508.0325721735,4371585.775639986,734351.544308051,4371552.259066158,5691.26920430669,2015,meadow,forest_west
JMX,734472.5688776539,734542.345786169,4371554.158767988,4371715.239683354,734513.8060843515,4371587.436356882,11239.728295048903,2015,forest,forest_west
JMY,734839.9485082915,734905.2153515316,4371386.797087366,4371436.874507939,734853.7375320578,4371415.149618182,3268.395158452339,2015,forest,forest_east
SH,735497.5252209352,735648.4115053572,4368250.986389546,4368387.495952346,735581.1835818416,4368328.714692328,20597.420719061764,2015,distant,NA
